field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,90,10,30,multi,707228.1111111117,10.0,4005.27
600,400,40,40,20,80,30,multi,652203.8181818182,89.0,391.49
600,400,40,40,100,0,30,multi,713364.5483870966,7.000000000000001,4177.949999999998
600,400,40,40,80,20,30,multi,706629.476190476,16.00000000000001,3513.6199999999994
600,400,40,40,40,60,30,multi,684382.5645161287,38.00000000000001,1332.54
600,400,40,40,30,70,30,multi,670743.5000000001,51.99999999999999,823.01
600,400,40,40,50,50,30,multi,692690.7875,20.0,1920.6999999999998
600,400,40,40,60,40,30,multi,694524.3902439021,18.0,2233.239999999999
600,400,40,40,70,30,30,multi,701888.5238095238,16.000000000000004,2838.89
