field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,90,10,30,single,711529.6363636364,89.00000000000001,205.09999999999997
600,400,40,40,20,80,30,single,700496.6,95.0,20.420000000000005
600,400,40,40,100,0,30,single,723924.6153846154,87.0,296.57
600,400,40,40,80,20,30,single,724208.9,90.0,139.49
600,400,40,40,40,60,30,single,714636.9,90.0,94.42000000000002
600,400,40,40,30,70,30,single,701852.875,84.00000000000001,93.83
600,400,40,40,50,50,30,single,721561.4,90.0,80.95
600,400,40,40,60,40,30,single,717962.5454545454,89.0,145.5500000000001
600,400,40,40,70,30,30,single,719353.8888888889,91.0,187.51000000000005
