field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
500,400,40,40,50,50,30,single,714507.0,81.0,116.98
700,400,40,40,50,50,30,single,713213.8,90.0,148.68999999999994
900,400,40,40,50,50,30,single,696567.0,92.0,175.22999999999993
1000,400,40,40,50,50,30,single,0.0,100.0,0.0
300,400,40,40,50,50,30,single,726552.8135593218,41.0,25.490000000000006
400,400,40,40,50,50,30,single,723358.7222222222,63.99999999999998,37.64000000000001
600,400,40,40,50,50,30,single,717881.5454545454,89.0,73.19
800,400,40,40,50,50,30,single,716205.0,98.0,22.249999999999996
