field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,50,50,60,k,711734.1071428572,44.00000000000001,579.42
600,400,40,40,50,50,60,k,708089.9130434783,31.0,668.1299999999997
600,400,40,40,50,50,60,k,709866.9482758619,42.0,640.2000000000003
600,400,40,40,50,50,60,k,707229.1016949152,41.0,638.9200000000001
600,400,40,40,50,50,60,k,707684.78125,36.0,716.1
600,400,40,40,50,50,60,k,710152.3939393939,34.0,725.0199999999998
600,400,40,40,50,50,60,k,710346.619047619,37.0,761.3199999999998
600,400,40,40,50,50,60,k,709716.5312499999,36.0,706.5
600,400,40,40,50,50,60,k,709564.953125,36.0,691.2000000000003
600,400,40,40,50,50,60,k,711878.4918032787,39.0,670.9699999999997
600,400,40,40,50,50,60,k,708157.4626865672,32.99999999999999,760.56
