field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
600,400,40,40,90,10,30,multi-u,733268.5978260869,7.999999999999999,1076.379999999999
600,400,40,40,20,80,30,multi-u,701053.2933333332,25.000000000000007,213.02
600,400,40,40,100,0,30,multi-u,732576.0957446808,5.999999999999998,1203.18
600,400,40,40,80,20,30,multi-u,728540.350515464,3.0,1135.0399999999995
600,400,40,40,40,60,30,multi-u,714683.5421686746,17.000000000000007,512.2500000000001
600,400,40,40,30,70,30,multi-u,709818.7402597404,23.000000000000004,317.23
600,400,40,40,50,50,30,multi-u,722328.1649484537,2.9999999999999973,626.8
600,400,40,40,60,40,30,multi-u,725511.9230769231,9.0,796.6899999999998
600,400,40,40,70,30,30,multi-u,729441.789473684,5.0,808.75
