field width,field height,obstacle width,obstacle height,num mobiles,num statics,num obstacles,tag,mean uptime,error rate,mean elt
500,400,40,40,50,50,30,multi-u,729297.9892473111,7.0000000000000036,441.13
700,400,40,40,50,50,30,multi-u,716698.1290322578,7.0000000000000036,764.98
900,400,40,40,50,50,30,multi-u,698590.538461539,9.0,1178.1200000000003
1000,400,40,40,50,50,30,multi-u,683840.1235955055,11.000000000000002,1502.1499999999994
300,400,40,40,50,50,30,multi-u,736445.3522727272,12.0,268.2200000000001
400,400,40,40,50,50,30,multi-u,733807.9670329669,8.999999999999998,315.1699999999999
600,400,40,40,50,50,30,multi-u,723626.3195876288,2.9999999999999973,597.9999999999997
800,400,40,40,50,50,30,multi-u,704597.4731182792,7.0000000000000036,1029.43
